Name,Points,VsClub,Season
Bruno Fernandes,20,Leeds,2021/22
Bruno Fernandes,1,Southampton,2021/22
Bruno Fernandes,2,Wolves,2021/22
Bruno Fernandes,8,Newcastle,2021/22
Bruno Fernandes,2,WHU,2021/22
Bruno Fernandes,0,Aston Villa,2021/22
Bruno Fernandes,5,Everton,2021/22
Bruno Fernandes,5,Leicester,2021/22
Bruno Fernandes,1,Liverpool,2021/22
Bruno Fernandes,6,Tottenham,2021/22
Bruno Fernandes,2,Manchester City,2021/22
Bruno Fernandes,2,Watford,2021/22
Bruno Fernandes,1,Chelsea,2021/22
Bruno Fernandes,9,Arsenal,2021/22
Bruno Fernandes,3,Crystal Palace,2021/22
Bruno Fernandes,3,Norwich,2021/22
Bruno Fernandes,1,Newcastle,2021/22
Bruno Fernandes,0,Burnley,2021/22
Bruno Fernandes,1,Wolves,2021/22
Bruno Fernandes,14,Aston Villa,2021/22
Bruno Fernandes,9,Brentford,2021/22
Bruno Fernandes,3,WHU,2021/22
Bruno Fernandes,2,Burnley,2021/22
Bruno Fernandes,2,Southampton,2021/22
Bruno Fernandes,10,Brighton,2021/22
Bruno Fernandes,12,Leeds,2021/22
Bruno Fernandes,3,Watford,2021/22
Bruno Fernandes,2,Manchester City,2021/22
Bruno Fernandes,0,Tottenham,2021/22
Bruno Fernandes,5,Leicester,2021/22
Bruno Fernandes,2,Everton,2021/22
Bruno Fernandes,2,Norwich,2021/22
Bruno Fernandes,1,Liverpool,2021/22
Bruno Fernandes,-1,Arsenal,2021/22
Bruno Fernandes,2,Chelsea,2021/22
Bruno Fernandes,8,Brentford,2021/22
Bruno Fernandes,2,Brighton,2021/22
Bruno Fernandes,1,Crystal Palace,2021/22
Bruno Fernandes,2,Brighton,2022/23
Bruno Fernandes,1,Brentford,2022/23
Bruno Fernandes,1,Liverpool,2022/23
Bruno Fernandes,8,Southampton,2022/23
Bruno Fernandes,3,Leicester,2022/23
Bruno Fernandes,7,Arsenal,2022/23
Bruno Fernandes,1,Manchester City,2022/23
Bruno Fernandes,2,Everton,2022/23
Bruno Fernandes,2,Newcastle,2022/23
Bruno Fernandes,11,Tottenham,2022/23
Bruno Fernandes,2,Chelsea,2022/23
Bruno Fernandes,2,WHU,2022/23
Bruno Fernandes,0,Aston Villa,2022/23
Bruno Fernandes,6,Fulham,2022/23
Bruno Fernandes,3,Nottingham,2022/23
Bruno Fernandes,6,Wolves,2022/23
Bruno Fernandes,6,Bourmouth,2022/23
Bruno Fernandes,9,Manchester City,2022/23
Bruno Fernandes,10,Crystal Palace,2022/23
Bruno Fernandes,5,Arsenal,2022/23
Bruno Fernandes,10,Crystal Palace,2022/23
Bruno Fernandes,2,Leeds,2022/23
Bruno Fernandes,3,Leeds,2022/23
Bruno Fernandes,12,Leicester,2022/23
Bruno Fernandes,2,Liverpool,2022/23
Bruno Fernandes,3,Southampton,2022/23
Bruno Fernandes,2,Newcastle,2022/23
Bruno Fernandes,2,Brentford,2022/23
Bruno Fernandes,3,Everton,2022/23
Bruno Fernandes,3,Nottingham,2022/23
Bruno Fernandes,5,Tottenham,2022/23
Bruno Fernandes,11,Aston Villa,2022/23
Bruno Fernandes,2,Brighton,2022/23
Bruno Fernandes,2,WHU,2022/23
Bruno Fernandes,6,Wolves,2022/23
Bruno Fernandes,3,Bourmouth,2022/23
Bruno Fernandes,8,Chelsea,2022/23
Bruno Fernandes,10,Fulham,2022/23
Bruno Fernandes,0,Wolves,2023/24
Bruno Fernandes,1,Tottenham,2023/24
Bruno Fernandes,12,Nottingham,2023/24
Bruno Fernandes,2,Arsenal,2023/24
Bruno Fernandes,1,Brighton,2023/24
Bruno Fernandes,10,Burnley,2023/24
Bruno Fernandes,2,Crystal Palace,2023/24
Bruno Fernandes,2,Brentford,2023/24
Bruno Fernandes,7,Sheffield,2023/24
Bruno Fernandes,1,Manchester City,2023/24
Bruno Fernandes,11,Fulham,2023/24
Bruno Fernandes,3,Luton,2023/24
Bruno Fernandes,6,Everton,2023/24
Bruno Fernandes,2,Newcastle,2023/24
Bruno Fernandes,0,Chelsea,2023/24
Bruno Fernandes,1,Bourmouth,2023/24
Bruno Fernandes,0,Liverpool,2023/24
Bruno Fernandes,1,WHU,2023/24
Bruno Fernandes,1,Aston Villa,2023/24
Bruno Fernandes,2,Nottingham,2023/24
Bruno Fernandes,2,Tottenham,2023/24
Bruno Fernandes,5,Wolves,2023/24
Bruno Fernandes,6,WHU,2023/24
Bruno Fernandes,2,Aston Villa,2023/24
Bruno Fernandes,2,Luton,2023/24
Bruno Fernandes,4,Fulham,2023/24
Bruno Fernandes,5,Manchester City,2023/24
Bruno Fernandes,11,Everton,2023/24
Bruno Fernandes,2,Brentford,2023/24
Bruno Fernandes,8,Chelsea,2023/24
Bruno Fernandes,9,Liverpool,2023/24
Bruno Fernandes,15,Bourmouth,2023/24
Bruno Fernandes,18,Sheffield,2023/24
Bruno Fernandes,4,Burnley,2023/24
Bruno Fernandes,0,Crystal Palace,2023/24
Bruno Fernandes,0,Arsenal,2023/24
Bruno Fernandes,5,Newcastle,2023/24
Bruno Fernandes,0,Brighton,2023/24
